efewf -50 i indkørslen 1
saxas 100 i indkørslen 1
dqw -50 i indkørslen 1
 -50 i entreen 1
 -50 i køkkenet 1
 -50 på kontoret 1
 100 i indkørslen 1
TRRHR -50 i indkørslen 1
 -50 i entreen 1
 -50 i stuen 1
 -50 i stuen 1
WDW -50 i indkørslen 1
ead -50 i entreen 1
 -50 i entreen 1
 100 i entreen 1
 -50 i stuen 1
ssdw -50 i indkørslen 1
 -50 i indkørslen 1
deq -50 i indkørslen 1
wd -50 på kontoret 2
 100 på kontoret 1
 -50 i entreen 1
 -50 i stuen 1
TB -50 i entreen 1
 100 i stuen 1
 -50 i stuen 1
 -50 i stuen 1
 100 i køkkenet 1
 100 på kontoret 1
 100 i indkørslen 1
 100 i indkørslen 1
 -50 i indkørslen 1
 -50 i stuen 1
 100 i stuen 1
 100 i entreen 1
 100 i køkkenet 1
test 100 i entreen 1
 100 i køkkenet 1
ll -50 i entreen 1
eee -50 i indkørslen 1
 -50 i indkørslen 1
yyy -50 i indkørslen 1
kk -50 i indkørslen 1
